X,Y,FID,SchoolCode,Latitude,Longitude,ESDCode,ESDName,LEACode,LEAName,SchoolName,LowestGrad,HighestGra,AddressLin,AddressL_1,City,State,ZipCode,PrincipalN,Email,Phone,OrgCategor,AYPCode,GradeCateg,OrgCateg_1
-122.913912437756537,46.982458278796528,2317,4225,46.982464,-122.913927,34801,Capital Region ESD 113,34033,Tumwater School District,New Market Skills Center,11,12,7299 New Market Street, ,Tumwater,Washington,98501-0000,Kris  Blum,kris.blum@newmarketskills.com,360.570.4500," Public School, Vocational/technical school",V,High School,Public
-122.356005946733546,47.10906980705218,2318,5961,47.109075592,-122.356020445,17801,Puget Sound Educational Service District 121,27403,Bethel School District,Pierce County Skills Center,8,12,16117 Canyon Rd E, ,Puyallup,Washington,98375,Michelle  Ledbetter,mledbetter@bethelsd.org,253.683.5977," Public School, Vocational/technical school",V,High School,Public
-122.548570281556849,45.644965064624976,2319,4203,45.644970745,-122.548584508,06801,Educational Service District 112,06114,Evergreen School District (Clark),Cascadia Technical Academy Skills Center,9,12,12200 NE 28th Street, ,Vancouver,Washington,98682-7858,Mark  Mansell,Mark.Mansell@evergreenps.org,360.604.1050," Public School, Vocational/technical school",V,High School,Public
-120.329234687258122,47.465563524955357,2320,4105,47.465569537,-120.329248917,04801,North Central Educational Service District 171,04246,Wenatchee School District,Wenatchee Valley Technical Skills Center,9,12,327 E PENNY ROAD STE D, ,WENATCHEE,Washington,98801-8106,Peter E Jelsing,jelsing.p@wenatcheeschools.org,509.662.8827," Public School, Vocational/technical school",V,High School,Public
-120.478463225981272,46.589521804344059,2321,4020,46.589527746,-120.478477294,39801,Educational Service District 105,39007,Yakima School District,Yakima Valley Technical Skills Center,9,12,1120 S 18th St, ,Yakima,Washington,98901,Dennis  Matson,matson.dennis@yakimaschools.org,509.573.5501," Public School, Vocational/technical school",V,High School,Public
-120.531868963249579,46.657220971787048,2322,5232,46.657226913,-120.531883055,39801,Educational Service District 105,39119,Selah School District,Robert Lince Early Learning Center,PK,PK,316 West Naches Avenue, ,Selah,Washington,98942,SUSAN  PETTERSON,susanpetterson@selahschools.org,509.698.8023," Preschool, Public School",P,PK Only,Public
-118.276450707326376,46.078509122545761,2323,5337,46.078515242,-118.276464277,11801,Educational Service District 123,36140,Walla Walla Public Schools,SE AREA TECHNICAL SKILLS CENTER,11,12,525 CAMPUS LOOP DR, ,WALLA WALLA,Washington,99362,Jerry  Maher,jmaher@wwps.org,509.526.2001," Public School, Vocational/technical school",V,High School,Public
-122.136633129141941,47.263958216303941,2324,1986,47.263964032,-122.136647625,OSPI,Office of Superintendent of Public Instruction,17903,Muckleshoot Indian Tribe,Muckleshoot Tribal School,K,12,39015 172nd Avenue Southeast, ,Auburn,Washington,98092, , , ," Not Affiliated With District, Tribal School",Q,High School,Tribal
-122.582296781807798,47.705896771467657,2325,5319,47.705902566,-122.582311451,OSPI,Office of Superintendent of Public Instruction,18902,Suquamish Tribal Education Department,Chief Kitsap Academy,K,12,15838 Sandy Hook Rd, ,Poulsbo,Washington,98370,Fabian  Castilleja,fcastilleja@Suquamish.nsn.us,360-394-8597," Public School, Regular School",Q,K-12,Tribal
-122.195475354112347,47.428933092988458,2326,5377,47.428938912,-122.195489896,34950,Washington State Charter School Commission,17906,Green Dot Public Schools Excel,Excel Public Charter School,7,10,19300 108th Ave SE, ,Kent,Washington,98031,Kristina  Howard,kristina.howard@greendot.org,253.242.0995,"Charter,  Public School, Regular School",P,Jr High,Charter
-122.413259182472544,47.232823931647907,2327,5378,47.232829718,-122.413273717,34950,Washington State Charter School Commission,27904,Green Dot Public Schools Destiny,Destiny Middle School,6,8,1301 E. 34th Street, ,Tacoma,Washington,98404,Cheryl  Sullivan,cheryl.sullivan@greendot.org,253.686.7571,"Charter,  Public School, Regular School",P,Middle School,Charter
-122.318350730280386,47.511568601160107,2328,5380,47.511574412,-122.318365311,34950,Washington State Charter School Commission,17908,Rainier Prep Charter School District,Rainier Prep,5,8,10211 12th Ave S, ,Seattle,Washington,98168,Maggie  O'Sullivan,mainoffice@rainierprep.org,206.725.1174,"Charter,  Public School, Regular School",P,Middle School,Charter
-122.41324436411557,47.232818344251442,2329,5379,47.2328241298,-122.413258899,34950,Washington State Charter School Commission,27909,SOAR Academy Charter District,SOAR Academy Public Charter School,K,8,1301 E 34th Street, ,Tacoma,Washington,98404,Lihi  Rosenthal,lrosenthal@soaracademies.org,510.326.3844,"Charter,  Public School, Regular School",P,Other,Charter
-122.429125565484185,47.240955925991734,2330,5376,47.240961711,-122.429140104,34950,Washington State Charter School Commission,27905,Summit Public School: Olympus,Summit Public School: Olympus,9,11,210 S. Hudson St, ,Seattle,Washington,98134,Greg  Ponikvar,gponikvar@summitps.org,253.271.9146,"Charter,  Public School, Regular School",P,High School,Charter
-122.318302191533945,47.597856338069342,2331,5375,47.597862154,-122.318316792,34950,Washington State Charter School Commission,17902,Summit Public School: Sierra,Summit Public School: Sierra,9,11,210 S Hudson St, ,Seattle,Washington,98134,Malia  Burns,mburns@summitps.org,206.999.9196,"Charter,  Public School, Regular School",P,High School,Charter
-117.398407978845782,47.657674779103743,2332,5339,47.657681098,-117.39842171,32911,Spokane Public Schools Charter Authorizer,32907,PRIDE Prep Charter School District,PRIDE Prep School,6,12,811 E. Sprague,Suite A,Spokane,Washington,99202,Brenda R McDonald,bmcdonald@prideprepschool.org,509.994.6234,"Charter,  Public School, Regular School",P,Other,Charter
-117.370484853306081,47.7039501248574,2333,5381,47.70395645,-117.370498589,32911,Spokane Public Schools Charter Authorizer,32901,Spokane International Academy,Spokane International Academy Elementary,K,8,2706 E Queen, ,Spokane,Washington,99217,Travis  Franklin,mainoffice@spokaneintlacademy.org,509-882-3855,"Charter,  Affiliated With District, Public School",P,Elementary School,Charter
-122.647524981501391,45.630707291682022,2334,3799,45.630712962,-122.647539221,OSPI,Office of Superintendent of Public Instruction,34974,Office of the Governor (Sch for Blind),Washington State School for the Blind,6,13,2214 E. 13th St., ,Vancouver,Washington,98661-4120,Sean J McCormick,sean.mccormick@wssb.wa.gov,360.947.3308," Institution, Public School",I,Other,Public
-117.721119904330934,48.170493982542794,2335,5357,48.170500305,-117.721133812,32801,Educational Service District 101,33070,Valley School District,Valley Early Learning Center,PK,PK,3030 Huffman Road, ,Valley,Washington,99181,Candace  Harris,candace.harris@valleysd.org,509-937-2638," Preschool, Public School",P,PK Only,Public
-122.957141760301596,46.139307715827577,2336,5312,46.139313386,-122.957156151,06801,Educational Service District 112,08122,Longview School District,Discovery High School,9,12,2742 Harding Blvd, ,Longview,Washington,98632,Michael  Kleiner,mkleiner@longview.k12.wa.us,360.414.2926," Alternative School, Public School",A,High School,Public
-118.34443506154075,46.063013301857808,2337,5470,46.063019414,-118.344448641,34950,Washington State Charter School Commission,36901,Willow Public Charter School,Willow Public School,6,8,PO Box 814, ,Walla Walla,Washington,99362,Daniel  Calzaretta,dan@willowpublicschool.org,509-593-0821,"Charter,  Public School, Regular School",P,Middle School,Charter
-119.248636933815064,46.212143999863009,2338,5520,46.212150036,-119.248650707,11801,Educational Service District 123,03017,Kennewick School District,Amon Creek Elementary,PK,5,18 Center Parkway, ,Richland,Washington,99352,Chad  Foltz,chad.foltz@ksd.org,509-222-5304," Affiliated With District, Public School",P,Elementary School,Public
-119.204578338068529,46.197620310658174,2339,5521,46.19762635,-119.204592101,11801,Educational Service District 123,03017,Kennewick School District,Fuerza Elementary,PK,5,6011 W 10th Pl, ,Kennewick,Washington,99338,Jaime  Silva,jaime.silva@ksd.org,509-222-7704," Affiliated With District, Public School",P,Elementary School,Public
-122.17674907564367,47.610213633297832,2340,5508,47.610219465,-122.176763655,17801,Puget Sound Educational Service District 121,17405,Bellevue School District,Wilburton Elementary School,K,5,12300 Main Street, ,Bellevue,Washington,98005,Elizabeth C. Hamilton,hamiltonel@bsd405.org,425.456.4300," Public School, Regular School",P,Elementary School,Public
-122.11219422440692,47.708675085302197,2341,5511,47.708680929,-122.112208815,17801,Puget Sound Educational Service District 121,17414,Lake Washington School District,Clara Barton Elementary School,K,5,12011 172nd Ave NE, ,Redmond,Washington,98052,Karen  Barker,kabarker@lwsd.org,425.936.1200," Public School, Regular School",P,Elementary School,Public
-117.166410310166995,47.671400656994102,2342,5541,47.671407,-117.166424,32801,Educational Service District 101,32356,Central Valley School District,Riverbend Elementary School,K,5,17720 E Mission Avenue, ,Spokane Valley,Washington,99016,Jeff  Dufresne,jdufresne@cvsd.org,509.558-3402," Public School, Regular School",P,Elementary School,Public
-122.941948115076926,46.640632818208317,2343,5510,46.640638518,-122.941962608,34801,Capital Region ESD 113,21302,Chehalis School District,Orin C Smith Elementary School,3,5,1240 Bishop Rd, ,Chehalis,Washington,98532,Brett  Ellingson,comments@chehalisschools.org,360-807-7200," Public School, Regular School",P,Elementary School,Public
-122.941938115187924,46.641032826725585,2344,5509,46.641038526,-122.941952608,34801,Capital Region ESD 113,21302,Chehalis School District,James W Lintott Elementary School,PK,2,1220 Bishop Rd, ,Chehalis,Washington,98532,Robert  Hunt,comments@chehalisschools.org,360-807-7200," Public School, Regular School",P,Elementary School,Public
-122.106901037047805,48.024995038867296,2345,5477,48.0250009,-122.1069157,29801,Northwest Educational Service District 189,31004,Lake Stevens School District,Stevens Creek Elementary,K,5,9317 29th St NE, ,Lake Stevens,Washington,98258,Matt  Pewitt,matt_pewitt@lkstevens.wednet.edu,425-335-1500," Public School, Regular School",P,Elementary School,Public
-122.838138991380788,46.008626810169694,2346,5545,46.008632484,-122.838153337,06801,Educational Service District 112,08402,Kalama School District,Kalama High School,9,12,548 China Garden Road, ,Kalama,Washington,98625,Guy  Strot,guy.strot@kalama.k12.wa.us,360.673.5212," Public School, Regular School",P,High School,Public
-122.710219298734643,45.791285975906995,2347,5518,45.79129165,-122.71023358,06801,Educational Service District 112,06122,Ridgefield School District,Sunset Ridge Intermediate School,5,6,3215 South Hillhurst Road, ,Ridgefield,Washington,98642,Todd  Graves,todd.graves@ridgefieldsd.org,360-619-1501," Public School, Regular School",P,Elementary School,Public
-122.197766320569301,47.128468613761257,2348,5524,47.128474416,-122.197780797,17801,Puget Sound Educational Service District 121,27320,Sumner School District,Tehaleh Heights Elementary,PK,5,17520 Berkeley Parkway East, ,Bonney Lake,Washington,98391,Sandy  Miller,sandy_miller@sumnersd.org,253.891.6544," Public School, Regular School",P,Elementary School,Public
-119.272817905735565,46.292530770595398,2349,5526,46.29253681,-119.2728317,11801,Educational Service District 123,03400,Richland School District,Richland School District Early Learning Center,PK,PK,1525 Hunt, ,Richland,Washington,99352,Katey  Bryan,Katey.Bryan@rsd.edu,509-967-6082," Preschool, Public School",P,PK Only,Public
-122.012131231423183,47.684627067747833,2350,5512,47.68463292,-122.0121458,17801,Puget Sound Educational Service District 121,17414,Lake Washington School District,Ella Baker Elementary School,K,5,9595 Eastridge Drive NE, ,Redmond,Washington,98053,Kim  Bilanko,kbilanko@lwsd.org,425.936.2790," Public School, Regular School",P,Elementary School,Public
-122.46177713565956,45.59391614076673,2351,5533,45.593921827,-122.461791338,06801,Educational Service District 112,06117,Camas School District,Discovery High School,9,12,5125 NW Nan Henriksen Way, ,Camas,Washington,98607,Aaron J Smith,aaronj.smith@camas.wednet.edu,360-833-5780," Affiliated With District, Public School",P,High School,Public
-122.669299568157669,48.300866582544074,2352,5343,48.300872399,-122.66931439,29801,Northwest Educational Service District 189,15201,Oak Harbor School District,iGrad Academy,9,12,#1 Wildcat Way, ,Oak Harbor,Washington,98277,Ray  Cone,rcone@ohsd.net,360.279.5801," Public School, Re-Engagement School",R,High School,Public
-120.418255146806302,46.438573331936873,2353,5544,46.43857927,-120.418269174,39801,Educational Service District 105,39207,Wapato School District,Camas Elementary,PK,2,1010 South Camas Ave, ,Wapato,Washington,98951,Irina  Lupas,Irinal@wapatosd.org,509-877-3134," Public School, Regular School",P,Elementary School,Public
-123.779619818688587,46.97790447836416,2354,4267,46.9779101111,-123.779634518,34801,Capital Region ESD 113,14005,Aberdeen School District,Grays Harbor Juvenile Detention,6,12,103 Junction City Rd., ,Aberdeen,Washington,98520-5622,Derek  Cook,dcook@asd5.org,360.538.2189, Detention Center,J,Other,Public
-120.515355922501499,46.602084060701827,2355,5224,46.6020900002,-120.51537,39801,Educational Service District 105,39007,Yakima School District,Yakima Satellite Alternative Programs,8,12,Yakima School District,104 N 4th Ave,Yakima,Washington,98902,Lois  Menard,menard.lois@yakimaschools.org,509.573.5581," Alternative School, Public School",A,High School,Public
-120.515355922501499,46.602084060701827,2356,5263,46.6020900002,-120.51537,39801,Educational Service District 105,39007,Yakima School District,Yakima Adult Jail,7,12,104 North 4th Avenue,Lois Menard,Yakima,Washington,98902,Lois  Menard, ,509.573.5581, Adult Jail,J,Other,Public
-120.515355922501499,46.602084060701827,2357,5264,46.6020900002,-120.51537,39801,Educational Service District 105,39007,Yakima School District,Ridgeview Group Home,7,12,104 North 4th Avenue, ,Yakima,Washington,98902,Lois  Menard, ,509.573.5581, Institution,I,Other,Public
-122.195695471202598,47.369634184410373,2358,5280,47.3696399999,-122.19571,17801,Puget Sound Educational Service District 121,17210,Federal Way School District,Dynamic Family Services,PK,12,10811 SE Kent Kanlgey Rd, ,Kent,Washington,98030,Jennifer  Westover,jwestove@fwps.org,253.945.2000," Public School, Special Education School",S,PK-12,Public
-117.428176262263008,47.665413682876277,2359,5249,47.6654199999,-117.428190001,32801,Educational Service District 101,32081,Spokane School District,Spokane County Jail,9,12,Public Safety Building,1100 West Mallon,Spokane,Washington,99260-0320,Larry Robert Gardner,lgardner@esd101.net,509-477-2451, Institution,I,High School,Public
-122.446475456184459,47.251954215951827,2360,5431,47.25196,-122.44649,OSPI,Office of Superintendent of Public Instruction,27931,Bates Technical College,Bates Technical College - Open Doors,9,12,1101 South Yakima Ave., ,Tacoma,Washington,98405,Peter  Hauschka,highschool@bates.ctc.edu,253-680-7217," Public School, Re-Engagement School",R,High School,Public
-122.446475456184459,47.251954215951827,2361,5950,47.25196,-122.44649,OSPI,Office of Superintendent of Public Instruction,27931,Bates Technical College,Bates Technical High School,9,12,1101 South Yakima Avenue, ,Tacoma,Washington,98405-4895,Peter  Hauschka,phauschka@bates.ctc.edu,253.680.7261," College/University, Public School, Regular School",P,High School,Public
-120.321075429146518,47.015291521328336,2362,3213,47.0152975056,-120.32108956,39801,Educational Service District 105,19403,Kittitas School District,Parke Creek Treatment Ctr,8,12,11042 Parke Creek Road, ,Ellensburg,Washington,98926-0000,Steve  Cordero, ,(509) 968-3924, Institution,I,High School,Public
-123.158713321931444,47.333227284666549,2363,5515,47.333233,-123.158728,34801,Capital Region ESD 113,23404,Hood Canal School District,Hood Canal Middle School,6,8,111 N State Route 106, ,Shelton,Washington,98584,Michael  Moore,sbatstone@hoodcanalschool.org,360-877-5463 x 217," Public School, Regular School",P,Middle School,Public
-122.703035454403704,47.067654252785402,2364,5496,47.06766,-122.703050001,OSPI,Office of Superintendent of Public Instruction,34901,WA HE LUT Indian School Agency,Wa He Lut Indian School,K,8,11110 Conine Ave SE, ,Olympia,Washington,98513,Harvey Leslie Whitford,kirsten.owens@bie.edu,360.456.1311," Not Affiliated With District, Tribal School",Q,Other,Tribal
-117.26045529593064,47.655929667374537,2365,5278,47.655936,-117.260469,32801,Educational Service District 101,32356,Central Valley School District,Spokane Valley Tech,9,12,115 S University Rd, ,Spokane Valley,Washington,99206-6067,Scott  Oakshott,soakshott@cvsd.org,509.228.5601," Public School, Vocational/technical school",V,High School,Public
-117.260036296427643,47.655663667323097,2366,5542,47.6556700002,-117.260050001,32801,Educational Service District 101,32356,Central Valley School District,Stem Academy at SVT,9,12,115 S. University Road, ,Spokane Valley,Washington,99206,Camille  Nielsen,canielsen@cvsd.org,509.558.6507," Public School, Regular School",P,High School,Public
-122.166865399263102,47.704604162796542,2367,5306,47.7046100002,-122.166879999,OSPI,Office of Superintendent of Public Instruction,17937,Lake Washington Institute of Technology,Open Doors at LWIT,11,12,11605 132nd Ave NE, ,Kirkland,Washington,98034,Kim  Infinger,kim.infinger@lwtech.edu,425.739.8274," Public School, Re-Engagement School",R,High School,Public
-122.166865399263102,47.704604162796542,2368,5953,47.7046100002,-122.166879999,OSPI,Office of Superintendent of Public Instruction,17937,Lake Washington Institute of Technology,Lake Washington Technical Academy,11,12,11605 132nd Ave NE, ,Kirkland,Washington,98034-8506,Michelle  Berry,michelle.berry@lwtech.edu,425.739.8274, Public School,P,High School,Public
-123.8244054191196,46.392664402276722,2369,3599,46.3926700002,-123.82442,06801,Educational Service District 112,25155,Naselle-Grays River Valley School District,Naselle Youth Camp School,7,12,11-S YOUTH CAMP LANE, ,NASELLE,Washington,98638-8600,Gary  Flood,gflood@naselleschools.org,360.484.3269 ext. 249, Institution,I,High School,Public
-122.427085059451073,48.951394125135636,2370,5466,48.9514,-122.427099999,29801,Northwest Educational Service District 189,37504,Lynden School District,IMPACT Reengagement Program,9,12,1201 Bradley Rd, ,Lynden,Washington,98264,Ian  Freeman,olsonki@lynden.wednet.edu,360.354.4443," Public School, Re-Engagement School",R,High School,Public
-119.766086136202233,46.203814013824413,2371,5537,46.2038200003,-119.766100001,11801,Educational Service District 123,03116,Prosser School District,PSD U Grad Academy,9,12,1203 PROSSER AVE., ,PROSSER,Washington,99350,Kevin  D Lusk,kevin.lusk@prosserschools.org,509-786-1224," Public School, Re-Engagement School",R,High School,Public
-122.681392301005772,47.553464919191647,2372,5302,47.5534706955,-122.681406952,OSPI,Office of Superintendent of Public Instruction,34979,Washington Military Department,Washington Youth Academy,9,12,1207 Carver St, ,Bremerton,Washington,98312, , , , Institution,I,High School,Public
-117.430374587661518,47.665324022716838,2373,3526,47.6653303386,-117.430388326,OSPI,Office of Superintendent of Public Instruction,32801,Educational Service District 101,Spokane Juvenile Detention School,6,12,1208 Mallen St., ,Spokane,Washington,99205-0128,Larry  Gardner, ,(509) 447-2451, Detention Center,J,Other,Public
-117.430374587661518,47.665324022716838,2374,3507,47.6653303386,-117.430388326,OSPI,Office of Superintendent of Public Instruction,32801,Educational Service District 101,Structural Alt Confinement School,8,12,1208 W. Mallen St., ,Spokane,Washington,99205-0320,Larry  Gardner, ,(509) 447-2451," Alternative School, Public School",A,High School,Public
-122.43123515472692,47.145541308996037,2375,5436,47.1455470879,-122.431249673,17801,Puget Sound Educational Service District 121,27402,Franklin Pierce School District,Early Learning Center,PK,PK,12223 S A Street, ,Tacoma,Washington,98444,Carol  Miller,cmiller@fpschools.org,253.298.4675," Preschool, Public School",P,PK Only,Public
-117.057786593454551,46.411193739700771,2376,1617,46.4112,-117.0578,11801,Educational Service District 123,02250,Clarkston School District,Educational Opportunity Center,7,12,1284 Chestnut St, ,Clarkston,Washington,99403-2557,Elece A. Lockridge,LockridgeE@csdk12.org,509.758.4508," Alternative School, Public School",A,Other,Public
-117.431711258703714,47.676607682802157,2377,5361,47.676614,-117.431725,32801,Educational Service District 101,32081,Spokane School District,Spokane Public Montessori,PK,8,1300 West Knox Ave., ,Spokane,Washington,99205,Shannon  Lawson,ShannonLa@SpokaneSchools.org,509-354-6409," Public School, Regular School",P,Other,Public
-120.416985184881398,46.437397320977041,2378,5543,46.4374032592,-120.416999212,39801,Educational Service District 105,39207,Wapato School District,Simcoe Elementary School,K,2,1307 S CAMAS AVENUE, ,Wapato,Washington,98951,Maria  Batarao,mariab@wapatosd.org,509.877.4181," Public School, Regular School",P,Elementary School,Public
-123.1011253561921,47.212704285441291,2379,5548,47.2127099998,-123.101139999,34801,Capital Region ESD 113,23309,Shelton School District,Shelton Open Doors,9,12,SOUND LEARNING,133 W RAILROAD AVE,SHELTON,Washington,98584,STACEY  ANDERSON,SIckes@Soundlearning.co,360-426-7664," Public School, Re-Engagement School",R,High School,Public
-119.155616118728901,46.819203912974281,2380,5528,46.8192100003,-119.15563,11801,Educational Service District 123,01147,Othello School District,Early Childhood Center,PK,PK,1335 S. Ash St., ,Othello,Washington,99344,Jennifer  Garza,jennifergarza@othelloschools.org,509.488.4544," Preschool, Public School",P,PK Only,Public
-122.66559535979431,47.520644224126713,2381,3481,47.5206499998,-122.66561,OSPI,Office of Superintendent of Public Instruction,18801,Olympic Educational Service District 114,Kitsap Co Detention Ctr,8,12,1338 SW OLD CLIFTON RD, ,PORT ORCHARD,Washington,98366-9113,Awilda  Jesionowski,awilda.jesionowski@esd112.org,360.417.2282, Detention Center,J,High School,Public
-121.813275422067832,47.873084116505346,2382,5329,47.8730899996,-121.81329,29801,Northwest Educational Service District 189,31311,Sultan School District,Open Doors Youth Reengagement Sultan,9,12,13715 310th Ave SE, ,Sultan,Washington,98296,Sarita  Whitmire,sarita.whitmire@sultan.k12.wa.us,360.793.9810," Public School, Re-Engagement School",R,High School,Public
-120.548321522717785,46.65692630702047,2383,5384,46.656932246,-120.548335618,39801,Educational Service District 105,39119,Selah School District,Selah Intermediate School,3,5,1401 West Fremont, ,Selah,Washington,98942,Ryan   Ranger,RyanRanger@selahschools.org,509.698.8306," Public School, Regular School",P,Elementary School,Public
-117.455433194013281,47.950522666176013,2384,5270,47.950529,-117.455447,32801,Educational Service District 101,32414,Deer Park School District,Deer Park Early Learning Center,PK,PK,"1406 E. ""D"" Street", ,Deer Park,Washington,99006,Michele  Miller,michele.miller@dpsdmail.org,509.464.5606," Preschool, Public School",P,PK Only,Public
-122.493725106435718,48.718914143706257,2385,5366,48.7189199996,-122.49374,29801,Northwest Educational Service District 189,37501,Bellingham School District,Bellingham Family Partnership Program,K,12,1409 18th St, ,Bellingham,Washington,98225-7201,Katherine  Baehr,kate.baehr@bellinghamschools.org,360.676.6424," Alternative School, Public School",A,K-12,Public
-122.638555350511282,47.57333421833021,2386,3883,47.57334,-122.638569999,18801,Olympic Educational Service District 114,18100,Bremerton School District,Morgan Center School,10,12,1500 13th Street, ,Bremerton,Washington,98337-1370,John  Grant,John.Grant@bremertonschools.org,360.473.1008, Institution,I,High School,Public
-117.20118774126442,47.658247836836914,2387,5043,47.6582541756,-117.201201434,32801,Educational Service District 101,32356,Central Valley School District,Central Valley Early Learning Center,PK,PK,15111 E Sprague Ave,Suite C,Spokane Valley,Washington,99206-6944,Barb  Sattler,bsattler@cvsd.org,509.228.5810," Public School, Special Education School",S,PK Only,Public
-122.312442484572657,47.741201231064352,2388,2612,47.7412070554,-122.312457117,17801,Puget Sound Educational Service District 121,17412,Shoreline School District,Fircrest Residential Habilitation,K,12,15230 15th N.E., ,Shoreline,Washington,98155-0000,Hillery  Clark,hillery.clark@shorelineschools.org,206.361.3165, Institution,I,K-12,Public
-122.174585318200542,48.055054144107736,2389,5402,48.0550600002,-122.1746,29801,Northwest Educational Service District 189,31025,Marysville School District,Marysville NWESD 189 Youth Engagement,10,12,1605  7th Street, ,Marysville,Washington,98270,Jodie  Desbiens,jdesbiens@nwesd.org,425.879.8810," Public School, Re-Engagement School",R,High School,Public
-122.919425614965135,46.140534325920733,2390,3294,46.1405399996,-122.91944,OSPI,Office of Superintendent of Public Instruction,06801,Educational Service District 112,Cowlitz County Youth Services Center,6,12,1725 1ST AVE, ,Longview,Washington,98632-3274,Chris  Rugg,chris.rugg@kelsosd.org,360.501.1905, Detention Center,J,Other,Public
-120.532225917684215,46.60884406265658,2391,4092,46.6088500001,-120.53224,39801,Educational Service District 105,39007,Yakima School District,Juvenile Detention Center,5,12,1728 JEROME AVE, ,YAKIMA,Washington,98902-0000,Lois  Menard,Menard.Lois@yakimaschools.org,509.573.5580, Detention Center,J,Other,Public
-119.996740015815448,46.323753002056975,2392,5352,46.3237589739,-119.996753945,39801,Educational Service District 105,39201,Sunnyside School District,SHS Graduation Alliance,9,12,1801 E Edison Ave, ,Sunnyside,Washington,98944,David  Martinez,david.martinez@sunnysideschools.org,509.837.2601," Contract School, Public School, Re-Engagement School",R,High School,Public
-122.328865359860799,47.764094176303757,2393,5287,47.7641000003,-122.32888,17801,Puget Sound Educational Service District 121,17412,Shoreline School District,Early Childhood Education,PK,PK,18560 1st Ave NE, ,Shoreline,Washington,98155,Hillery  Clark,hillery.clark@shorelineschools.org,206.393.4359," Affiliated With District, Public School",P,PK Only,Public
-122.328865359860799,47.764094176303757,2394,5314,47.7641000003,-122.32888,17801,Puget Sound Educational Service District 121,17412,Shoreline School District,Head Start,PK,PK,18560 1st Ave NE, ,Shoreline,Washington,98155,Hillery  Clark,hillery.clark@shorelineschools.org,206.393.4359," Affiliated With District, Public School",P,PK Only,Public
-122.891440971955149,46.143540845088999,2395,5547,46.1435465223,-122.891455353,06801,Educational Service District 112,08458,Kelso School District,Kelso Goal Oriented Learning Design,9,12,1904 Allen St, ,Kelso,Washington,98626,Rob L Birdsell,carlc@goodwillwa.org,360-501-1800," Public School, Re-Engagement School",R,High School,Public
-123.483541180967975,48.119075827892267,2396,3143,48.1190815494,-123.483556092,OSPI,Office of Superintendent of Public Instruction,18801,Olympic Educational Service District 114,Clallam Co Juvenile Detention,8,12,1912 W 18TH ST, ,PORT ANGELES,Washington,98363-5121,Awilda  Jesionowski, ,(360) 565-2625, Detention Center,J,High School,Public
-122.20329533112313,47.977744151906059,2397,1810,47.9777500001,-122.20331,29801,Northwest Educational Service District 189,31002,Everett School District,Sno Co Jail,7,12,1918 Wall Street, ,Everett,Washington,98201-3665,Kelly  Shepherd,kshepherd@everettsd.org,425.385.5100," Institution, Public School",I,Other,Public
-122.401135807486142,45.592724307885554,2398,5532,45.5927300002,-122.401149999,06801,Educational Service District 112,06117,Camas School District,Camas School District Open Doors,9,12,1919 NE Ione St, ,Camas,Washington,98607,Amy  Holmes,amy.holmes@camas.wednet.edu,360-833-5600," Public School, Re-Engagement School",R,High School,Public
-122.686173678339145,48.211973545377163,2399,5234,48.2119793554,-122.686188482,29801,Northwest Educational Service District 189,15204,Coupeville School District,ICCF Ed Program,9,12,2 S Main St, ,Coupeville,Washington,98239,Jim  Shank,jshank@coupeville.k12.wa.us,360.678.2404, Institution,I,High School,Public
-121.9687554001775,47.854524133294149,2400,1883,47.8545299997,-121.96877,29801,Northwest Educational Service District 189,31103,Monroe School District,Youth Re-Engagement,9,12,200 E Fremont, ,Monroe, ,98272,Justin  Blasko,Blaskoj@monroe.wednet.edu,360.804.2550," Alternative School, Public School",A,High School,Public
-117.696626230149647,47.571943716536587,2401,3352,47.5719500001,-117.69664,OSPI,Office of Superintendent of Public Instruction,32801,Educational Service District 101,Martin Hall Detention Ctr,8,12,201 S. Pine St., ,Medical Lake,Washington,99022-0128,Larry  Gardner, ,(509) 447-2451, Detention Center,J,High School,Public
-122.88664542440803,47.062254272023665,2402,5259,47.0622600004,-122.886659999,34801,Capital Region ESD 113,34111,Olympia School District,Touchstone,6,12,2010 N Puget St, ,Olympia,Washington,98506,Karen  Zarate,kzarate@osd.wednet.edu,360.596.7000, Institution,I,Other,Public
-123.816505294989142,46.978394371236362,2403,5514,46.9784000002,-123.81652,34801,Capital Region ESD 113,14005,Aberdeen School District,Grays Harbor Academy,3,12,216 North G St., ,Aberdeen,Washington,98520,David  Glasier,ghacademy@asd5.org,360-538-2059," Alternative School, Public School",A,Other,Public
-122.83602534984368,47.438624245857433,2404,5513,47.43863,-122.83604,18801,Olympic Educational Service District 114,23403,North Mason School District,Mary E. Theler Early Learning Center,PK,PK,22871 NE SR 3, ,Belfair,Washington,98528,Thom  Worlund,tworlund@northmasonschools.org,360-277-2112," Preschool, Public School",P,PK Only,Public
-122.556385777286124,45.62284432153735,2405,5262,45.6228500004,-122.5564,39801,Educational Service District 105,39202,Toppenish School District,NW Allprep,K,12,237 Chkalov Ste 108, ,Vancouver,Washington,98684,Tim  King,timking.nw@gmail.com,503.313.6836," Affiliated With District, Contract School, Public School",Z,K-12,Public
