LEACode,LEAName,SchoolCode,SchoolName,LowestGrade,HighestGrade,PrincipalName,Email,Phone,OrgCategoryList,GradeCategory,City
27931,Bates Technical College,5431,Bates Technical College - Open Doors,9,12,Peter  Hauschka,highschool@bates.ctc.edu,253-680-7217," Public School, Re-Engagement School",High School,Tacoma
32361,East Valley School District (Spokane),5432,EV Online,7,12,Matthew  Stevens,stevensma@evsd.org,509.927.3200," Alternative School, Public School",K-12,Spokane Valley
32361,East Valley School District (Spokane),5433,EV Parent Partnership,K ,12,Frank  Brou,brouf@evsd.org,509-241-5001," Alternative School, Public School",K-12,Spokane Valley
32801,Educational Service District 101,5434,NEWESD 101 Open Doors,11,12,Dr. Trina  Clayeux,trinac@nextgenzone.org,509.340.7800," Public School, Re-Engagement School",High School,Spokane
6114,Evergreen School District (Clark),5435,Open Doors Evergreen,9,12,Stephen  Getsinger,Stephen.Getsinger@evergreenps.org,360.604.4095," Public School, Re-Engagement School",High School,Vancouver
17411,Issaquah School District,5437,Gibson Ek High School,9,12,Julia  Bamba,bambaj@issaquah.wednet.edu,425.837.6009," Public School, Regular School",High School,Issaquah
17415,Kent School District,5440,The Outreach Program,12,12,Susan  Whitehall,Susan.Whitehall@kent.k12.wa.us,253.373.4080," Public School, Special Education School",High School,Kent
31004,Lake Stevens School District,5442,Outcomes for Academic Resilience,8,12,Tina  Vinnick,tina_vinnick@lkstevens.wednet.edu,425-335-1594," Alternative School, Public School",High School,Lake Stevens
39120,Mabton School District,5443,Mabton Step Up To College,9,12,Tyson  Sturza,sturzat@msd120.org,509.894.4951," Public School, Re-Engagement School",High School,Mabton
23311,Mary M Knight School District,5444,Mary M. Knight School,PK,12,  ,,," Public School, Regular School",PK-12,Elma
23311,Mary M Knight School District,5445,Washington Connections Academy,K ,12,Michael   Lunde,mlunde@connectionseducation.com,307-699-0676," Affiliated With District, Public School",K-12,Tumwater
33207,Mary Walker School District,5446,Mary Walker Promise,K ,12,Matt  Cobb,smcisaac@marywalker.org,509.258.4712," Alternative School, Public School",K-12,Springdale
37505,Meridian School District,5448,Meridian Impact Re-Engagement,9,12,Derek  Forbes,dforbes@meridian.wednet.edu,360.318.2280," Public School, Re-Engagement School",High School,
29320,Mount Vernon School District,5449,Mount Vernon Open Doors,10,12,Christopher  Jorgensen,cjorgensen@mvsd320.org,360.428.6206," Public School, Re-Engagement School",High School,Mount Vernon
29101,Sedro-Woolley School District,5456,Connections Academy,9,12,Scott  McPhee,smcphee@swsd.k12.wa.us,360-855-3785," Alternative School, Public School",High School,Sedro-Woolley
27010,Tacoma School District,5458,Industrial Design Engineering and Art,9,12,Zach  Varnell,zvarnel@tacoma.k12.wa.us,253.571.7906," Public School, Regular School",High School,Tacoma
36140,Walla Walla Public Schools,5460,Opportunity Youth Reengagement,11,12,Pete  Peterson,tporter@wwps.org,509.526.8660," Public School, Re-Engagement School",High School,Walla Walla
33049,Wellpinit School District,5461,Wellpinit Fort Simcoe SEA,9,12,Terry  Bartolino,terryb@wellpinit.org,509.258.4535 ext. 2195," Public School, Re-Engagement School",High School,Wellpinit
37502,Ferndale School District,5464,FERNDALE RE-ENGAGEMENT,9,12,Scott  Brittain,scott.brittain@ferndalesd.org,360.383.9210," Public School, Re-Engagement School",High School,FERNDALE
37503,Blaine School District,5465,Blaine Re-Engagement,10,12,Scott  Ellis,Scott_Ellis@blainesd.org,360.332.6045," Contract School, Public School, Re-Engagement School",High School,Blaine
37504,Lynden School District,5466,IMPACT Reengagement Program,9,12,Ian  Freeman,olsonki@lynden.wednet.edu,360.354.4443," Public School, Re-Engagement School",High School,Lynden
6701,ESA 112,5467,ESA 112 Special Ed Co-Op,PK,12,Gavin  Hottman,gavin.hottman@esd112.org,360.952.3521," Public School, Special Education School",PK-12,Vancouver
18401,Central Kitsap School District,5472,Barker Creek Community School,K ,12,Stuart  Crisman,stuartc@ckschools.org,360-662-2575," Alternative School, Public School",K-12,Silverdale
31025,Marysville School District,5478,Marysville Getchell High School,9,12,Richard   Zimmerman,richard_zimmerman@msd25.org,360.965.2305," Public School, Regular School",High School,Marysville
30031,Mill A School District,5480,Pacific Crest Innovation Academy,9,12,Bob  Rogers,info@pacificcrestia.org,509-538-2700," Affiliated With District, Public School",High School,cook
17417,Northshore School District,5481,North Creek High School,9,12,Eric Thomas McDowell,emcdowell@nsd.org,425-408-8805," Public School, Regular School",High School,Bothell
31016,Arlington School District,5495,Arlington Open Doors,9,12,Andrea  Dixon,ahundredmark@asd.wednet.edu,360.618.6340," Public School, Re-Engagement School",High School,Arlington
13165,Ephrata School District,5497,Sage Hills Open Doors,10,13,Sharon   Scellick,sscellick@ephrataschools.org,509.754.5285," Public School, Re-Engagement School",High School,Ephrata
31006,Mukilteo School District,5498,Mukilteo Reengagement Academy Open Doors,9,12,Patrick B Hegarty,HegartyPB@mukilteo.wednet.edu,425-356-1293," Public School, Re-Engagement School",High School,Everett
11051,North Franklin School District,5499,CRCC-Open Doors,9,12,  ,,," Public School, Re-Engagement School",High School,Connell
29801,Northwest Educational Service District 189,5501,Open Doors - Youth Reengagement Program,9,12,Jodie  DesBiens,jdesbiens@nwesd.org,360.299.4000," Public School, Re-Engagement School",High School,Anacortes
6114,Evergreen School District (Clark),4162,Mountain View High School,9,12,Matthew  Johnson,Matthew.Johnson@evergreenps.org,360.604.6100," Public School, Regular School",High School,Vancouver
6114,Evergreen School District (Clark),4203,Cascadia Technical Academy Skills Center,9,12,Joan  Huston,Joan.Huston@evergreenps.org,360.604.1050," Public School, Vocational/technical school",High School,Vancouver
6114,Evergreen School District (Clark),4523,Heritage High School,9,12,Derek  Garrison,Derek.Garrison@evergreenps.org,360.604.3400," Public School, Regular School",High School,Vancouver
6117,Camas School District,4567,Camas High School,9,12,Elizabeth  Curran-Sejkora,liza.sejkora@camas.wednet.edu,360.833.5750," Public School, Regular School",High School,Camas
6119,Battle Ground School District,1875,Homelink River,K ,12,MARK  CLEMENTS,clements.mark@battlegroundps.org,360.334.8205," Alternative School, Public School",K-12,Battle Ground
6119,Battle Ground School District,2415,Battle Ground High School,9,12,Charbonneau D Gourde,gourde.charbonneau@battlegroundps.org,360.885.6560," Public School, Regular School",High School,BATTLE GROUND
6119,Battle Ground School District,4104,Prairie High School,9,12,Stephanie  Watts,watts.stephanie@battlegroundps.org,360.885.5000," Public School, Regular School",High School,Battle Ground
6122,Ridgefield School District,2390,Ridgefield High School,9,12,Christen  Palmer,christen.palmer@ridgefieldsd.org,360.619.1323," Public School, Regular School",High School,RIDGEFIELD
7002,Dayton School District,2302,Dayton High School,9,12,Kristina  Brown,kristinab@daytonsd.org,509.382.4775," Public School, Regular School",High School,Dayton
8122,Longview School District,2416,R A Long High School,9,12,Richard J. Reeves,rreeves@longview.k12.wa.us,360.575.7225," Public School, Regular School",High School,Longview
8122,Longview School District,3151,Mark Morris High School,9,12,Brooks  Cooper,bcooper@longview.k12.wa.us,360.575.7663," Public School, Regular School",High School,Longview
8401,Castle Rock School District,2281,Castle Rock High School,9,12,Ryan  Greene,rgreene@crschools.org,360.501.2930," Public School, Regular School",High School,CASTLE ROCK
8404,Woodland School District,1795,TEAM High School,9,12,  ,,," Alternative School, Public School",High School,Woodland
8404,Woodland School District,3546,Woodland High School,9,12,John  Shoup,shoupj@woodlandschools.org,360.841.2900," Public School, Regular School",High School,Woodland
8458,Kelso School District,2266,Kelso High School,9,12,Christine Marie McDaniel,christine.mcdaniel@kelsosd.org,360.501.1827," Public School, Regular School",High School,Kelso
9075,Bridgeport School District,2788,Bridgeport High School,9,12,Tamra  Jackson,tjackson@bridgeport.wednet.edu,509.686.8770," Public School, Regular School",High School,BRIDGEPORT
9206,Eastmont School District,2727,Eastmont Senior High,10,12,Lance   Noel,noelll@eastmont206.org,509.884.6665," Public School, Regular School",High School,East Wenatchee
9206,Eastmont School District,2986,Canyon View Group Home,10,11,Lance  Noell,noelll@eastmont206.org,509.884.6665, Institution,High School,East Wenatchee
9206,Eastmont School District,3372,Eastmont Junior High,8,9,Amy  Dorey,doreya@eastmont206.org,509.884.2407," Public School, Regular School",High School,East Wenatchee
4246,Wenatchee School District,4105,Wenatchee Valley Technical Skills Center,9,12,Peter E Jelsing,jelsing.p@wenatcheeschools.org,509.662.8827," Public School, Vocational/technical school",High School,WENATCHEE
9207,Mansfield School District,2233,Mansfield Elem and High School,PK,12,Shane  Bird,sbird@mansfield.wednet.edu,509.683.1012," Public School, Regular School",K-12,MANSFIELD
10050,Curlew School District,2006,Curlew Elem & High School,PK,12,Brett  Simpson,bsimpson@curlew.wednet.edu,(509) 779-4931," Public School, Regular School",PK-12,Curlew
10070,Inchelium School District,2603,Inchelium High School,9,12,Briam  Myers,bmyers@inchelium.net,509.722.6181," Public School, Regular School",High School,Inchelium
10309,Republic School District,3579,Republic Senior High School,9,12,Chris  Burch,cburch@republicsd.org,509.775.3327," Public School, Regular School",High School,REPUBLIC
11001,Pasco School District,2917,Pasco Senior High School,9,12,Raul  Sital,rsital@psd1.org,509.547.5581," Public School, Regular School",High School,PASCO
11001,Pasco School District,3912,New Horizons High School,6,12,Seth  Johnson,SeJohnson@psd1.org,509.543.6796," Alternative School, Public School",High School,PASCO
11051,North Franklin School District,1754,Palouse Junction High School,9,12,George  Farrah,farrah@nfsd.org,509.234.1055," Alternative School, Public School",High School,Connell
11051,North Franklin School District,3272,Connell High School,9,12,William R Walker,bwalker@nfsd.org,509.234.2911," Public School, Regular School",High School,Connell
11056,Kahlotus School District,3214,Kahlotus Elem & High,PK,12,Mark  Bitzer,markfbitzer@kahlotussd.org,509.282.3338," Public School, Regular School",PK-12,KAHLOTUS
13073,Wahluke School District,1835,Sentinel Tech Alt School,9,12,William  Von Bracht,wvonbracht@wahluke.net,509.932.3133," Alternative School, Public School",High School,Mattawa
13073,Wahluke School District,4254,Wahluke High School,9,12,William  Von Bracht,wvonbracht@wahluke.net,509.932.4477," Public School, Regular School",High School,Mattawa
13144,Quincy School District,3088,Quincy High School,9,12,Marcus  Pimpleton,mpimplet@qsd.wednet.edu,509.787.3501," Public School, Regular School",High School,QUINCY
13146,Warden School District,3273,Warden High School,9,12,Courtney  McCoy,cmccoy@warden.wednet.edu,509.349.2581," Public School, Regular School",High School,WARDEN
13151,Coulee-Hartline School District,2968,Almira Coulee Hartline High School,9,12,Jim  Evans,jevans@achsd.org,509.632.5231," Public School, Regular School",High School,Coulee City
13156,Soap Lake School District,1518,RISE Academy,9,12,Sunshine  Pray,spray@slschools.org,509.246.1201," Alternative School, Public School",High School,SOAP LAKE
13160,Royal School District,3516,Royal High School,9,12,Rick  Follett,rfollett@royalsd.org,509.346.2256," Public School, Regular School",High School,Royal City
13161,Moses Lake School District,3215,Moses Lake High School,9,12,Triscia  Hochstatter,thochstatter@mlsd161.org,509.766.2666," Public School, Regular School",High School,MOSES LAKE
13165,Ephrata School District,2920,Ephrata High School,9,12,Aaron  Cummings,acummings@ephrataschools.org,509.754.5285," Public School, Regular School",High School,EPHRATA
39208,West Valley School District (Yakima),5506,WEST VALLEY VIRTUAL ACADEMY 9-12,9,12,ASHLEY  LIEBERKNECHT,lieberknechta@wvsd208.org,509.972.5900," Public School, Regular School",High School,Yakima
17408,Auburn School District,5522,Auburn Opportunity Project,9,12,Michael  Robinson,mrobinson@auburn.wednet.edu,253.931.4990," Public School, Re-Engagement School",High School,Auburn
33036,Chewelah School District,5523,Chewelah Open Doors Reengagement Program,10,13,Erin  Dell,edell@chewelahk12.us,509.685.6800," Public School, Re-Engagement School",High School,Chewelah
29100,Burlington-Edison School District,5525,Open Doors,10,12,Todd  Setterlund,dpadilla@be.wednet.edu,360-757-3502," Public School, Re-Engagement School",High School,Burlington
27001,Steilacoom Hist. School District,5527,Steilacoom PRIDE Academy,9,12,Michael  Miller,mimiller@steilacoom.k12.wa.us,253-983-2300," Public School, Re-Engagement School",High School,Steilacoom
5402,Quillayute Valley School District,5529,Insight School of WA Open Doors Program,9,12,Myron  Hammond,mhammond@k12.com,425.533.2700," Public School, Re-Engagement School",High School,Tacoma
10050,Curlew School District,5530,Ferry County Open Doors,8,12,John  Glenewinkel,jgwinkel@curlew.wednet.edu,509-779-4931," Public School, Re-Engagement School",High School,Curlew
6117,Camas School District,5532,Camas School District Open Doors,9,12,Amy  Holmes,amy.holmes@camas.wednet.edu,360-833-5600," Public School, Re-Engagement School",High School,Camas
6117,Camas School District,5533,Discovery High School,9,12,Aaron J Smith,aaronj.smith@camas.wednet.edu,360-833-5780," Affiliated With District, Public School",High School,Camas
6114,Evergreen School District (Clark),5535,Cascadia Technical Academy ALE  ,9,12,Joan  Huston,Joan.Huston@evergreenps.org,360.604.1050," Public School, Regular School",High School,Vancouver
3116,Prosser School District,5537,PSD U Grad Academy,9,12,Kevin  D Lusk,kevin.lusk@prosserschools.org,509-786-1224," Public School, Re-Engagement School",High School,PROSSER
26059,Cusick School District,5538,Home Pride,K ,12,Stephen  Bollinger,sbollinger@cusick.wednet.edu,509-445-1125," Affiliated With District, Public School",K-12,Cusick
39208,West Valley School District (Yakima),5540,West Valley Open Doors,9,12,Ashley  Lieberknecht,lieberknechta@wvsd208.org,509-823-2600," Public School, Re-Engagement School",High School,Yakima
32356,Central Valley School District,5542,Stem Academy at SVT,9,12,Camille  Nielsen,canielsen@cvsd.org,509.558.6507," Public School, Regular School",High School,Spokane Valley
8402,Kalama School District,5545,Kalama High School,9,12,Guy  Strot,guy.strot@kalama.k12.wa.us,360.673.5212," Public School, Regular School",High School,Kalama
18400,North Kitsap School District,5546,Choice Academy,9,12,Penny  Therrion,ptherrion@nkschools.org,360.396.3570," Alternative School, Public School",High School,Kingston
8458,Kelso School District,5547,Kelso Goal Oriented Learning Design,9,12,Rob L Birdsell,carlc@goodwillwa.org,360-501-1800," Public School, Re-Engagement School",High School,Kelso
23309,Shelton School District,5548,Shelton Open Doors,9,12,STACEY  ANDERSON,SIckes@Soundlearning.co,360-426-7664," Public School, Re-Engagement School",High School,SHELTON
27901,Chief Leschi Tribal Compact,5549,Chief Leschi Schools,K ,12,Bruce  Leonardy,bruce.leonardy@leschischools.org,253.445.6000," Not Affiliated With District, Tribal School",K-12,Puyallup
39901,Yakama Nation Tribal Compact,5550,Yakama Nation School,K ,12,Adam  Strom,adam@yakama.com,509.865.4778," Not Affiliated With District, Tribal School",K-12,Toppenish
37506,Nooksack Valley School District,5554,Nooksack Reengagement,11,12,Matt  Galley,matt.galley@nv.k12.wa.us,360.988.2641," Public School, Re-Engagement School",High School,"NOOKSACK, WA"
39119,Selah School District,5561,Selah Academy BPL,9,12,Joe  Coscarart,joecoscarart@selahschools.org,509 698-8063," Alternative School, Public School",High School,Selah
36250,College Place School District,5575,College Place Open Doors Program,9,13,Robert  Aguilar,raguilar@cpps.org,509-525-4827," Public School, Re-Engagement School",High School,College Place
24404,Tonasket School District,5586,Tonasket Choice High School,9,12,Brian  Ellis,bellis@tonasket.wednet.edu,509-486-2161," Public School, Regular School",High School,Tonasket
24404,Tonasket School District,5587,Tonasket Outreach School,K ,12,Steve  McCullough,smccullough@tonasket.wednet.edu,509-486-2126," Alternative School, Public School",K-12,Tonasket
13161,Moses Lake School District,5601,Moses Lake Big Picture,9,12,Triscia  Hochstatter,thochstatter@mlsd161.org,509.766.2666," Alternative School, Public School",High School,Moses Lake
14005,Aberdeen School District,3476,J M Weatherwax High School,9,12,Sherri  Northington,snorthington@asd5.org,360.538.2045," Public School, Regular School",High School,Aberdeen
14005,Aberdeen School District,3857,Harbor High School,9,12,Derek  Cook,dcook@asd5.org,360.538.2189," Public School, Regular School",High School,Aberdeen
14028,Hoquiam School District,3622,Hoquiam High School,9,12,Brock  Maxfield,bmaxfield@hoquiam.net,360.538.8210," Public School, Regular School",High School,Hoquiam
14064,North Beach School District,2728,North Beach Senior High School,9,12,Cyndy  Valdez,cvaldez@northbeachschools.org,360.289.3888," Public School, Regular School",High School,Ocean Shores
14068,Elma School District,1629,East Grays Harbor High School,9,12,Julie  Crawford,jcrawford@eagles.edu,360.482.5086," Alternative School, Public School",High School,Elma
14068,Elma School District,2137,Elma High School,9,12,Rich  Rasanen,rrasanen@eagles.edu,360.482.3121," Public School, Regular School",High School,Elma
14077,Taholah School District,3580,Taholah High School,9,12,Patricia  Larriva,plarriva@taholah.org,360.276.4780," Public School, Regular School",High School,Taholah
14097,Lake Quinault School District,2921,Lake Quinault School,K ,12,Keith  Samplawski,ksamplawski@lakequinaultschools.org,360.288.2414," Public School, Regular School",K-12,Amanda Park
14117,Wishkah Valley School District,3375,Wishkah Valley Elementary/High School,K ,12,Donald  Hay,dhay@wishkah.org,360.532.3128," Public School, Regular School",K-12,Aberdeen
15201,Oak Harbor School District,1758,Homeconnection,K ,12,Shane  Evans,sevans@ohsd.net,360.279.5057," Alternative School, Public School",K-12,Oak Harbor
15201,Oak Harbor School District,2974,Oak Harbor High School,9,12,Dwight  Lundstrom,dlundstrom@ohsd.net,(360)279.5701," Public School, Regular School",High School,Oak Harbor
15204,Coupeville School District,2625,Coupeville High School,9,12,Duane  Baumann,dbaumann@coupeville.k12.wa.us,360.678.2410," Public School, Regular School",High School,Coupeville
15206,South Whidbey School District,4149,South Whidbey High School,9,12,John  Patton,jpatton@sw.wednet.edu,360.221.4300," Public School, Regular School",High School,Langley
16048,Quilcene School District,2474,Quilcene High And Elementary,PK,12,Sean  Moss,smoss@qsd48.org,360.765.2906," Public School, Regular School",PK-12,Quilcene
16049,Chimacum School District,1724,PI Program,K ,12,David  Carthum,david_carthum@csd49.org,360.302.5948," Alternative School, Public School",K-12,Chimacum
16050,Port Townsend School District,1798,OCEAN,K ,12,Theresa  Campbell,tcampbell@ptschools.org,360.379.4540," Alternative School, Public School",K-12,Port Townsend
16050,Port Townsend School District,2503,Port Townsend High School,9,12,Carrie L. Ehrhardt,cehrhardt@ptschools.org,360.379.4520," Public School, Regular School",High School,Port Townsend
17001,Seattle Public Schools,1547,Middle College High School,9,12,Elizabeth  McFarland,emmcfarland@seattleschools.org,206.252.9905," Public School, Regular School",High School,SEATTLE
17001,Seattle Public Schools,1751,Cascade Parent Partnership Program,K ,12,Owen  Gonder,oigonder@seattleschools.org,206.252.4720," Alternative School, Public School",K-12,SEATTLE
17001,Seattle Public Schools,1856,The Center School,9,12,Barbara  Casey,blcasey@seattleschools.org,206.252.9855," Public School, Regular School",High School,SEATTLE
17001,Seattle Public Schools,2182,Franklin High School,9,12,Jennifer  Wiley,jwiley@seattleschools.org,206.252.6150," Public School, Regular School",High School,SEATTLE
17001,Seattle Public Schools,2220,Ballard High School,9,12,Keven  Wynkoop,kswynkoop@seattleschools.org,206.252.1000," Public School, Regular School",High School,SEATTLE
17001,Seattle Public Schools,2234,West Seattle High School,9,12,Brian  Vance,brvance@seattleschools.org,206.252.8805," Public School, Regular School",High School,SEATTLE
17001,Seattle Public Schools,2285,Roosevelt High School,9,12,Kristina  Rodgers,karodgers@seattleschools.org,206.252.4815," Public School, Regular School",High School,SEATTLE
17001,Seattle Public Schools,2306,Garfield High School,9,12,Ted  Howard II,thoward@seattleschools.org,206.252.2270," Public School, Regular School",High School,SEATTLE
17001,Seattle Public Schools,2392,Cleveland High School STEM,9,12,George  Breland,glbreland@seattleschools.org,206.252.7800," Public School, Regular School",High School,SEATTLE
17001,Seattle Public Schools,3096,Chief Sealth International High School,9,12,Aida  Fraser-Hammer,aifraserhamm@seattleschools.org,206.252.8550," Public School, Regular School",High School,SEATTLE
17001,Seattle Public Schools,3276,Ingraham High School,9,12,Martin  Floe,mfloe@seattleschools.org,(206) 252-3880," Public School, Regular School",High School,SEATTLE
17001,Seattle Public Schools,3327,Rainier Beach High School,9,12,Keith  Smith,klsmith@seattleschools.org,206.252.6350," Public School, Regular School",High School,SEATTLE
17001,Seattle Public Schools,3479,Nathan Hale High School,9,12,Jill   Hudson,jshudson@seattleschools.org,206.252.3680," Public School, Regular School",High School,SEATTLE
17001,Seattle Public Schools,3778,South Lake High School,9,12,Laura  Davis-Brown,lldavisbrown@seattleschools.org,206.252.6600," Alternative School, Public School",High School,SEATTLE
17001,Seattle Public Schools,3868,Nova High School,9,12,Mark  Perry,mcperry@seattleschools.org,206.252.3500," Alternative School, Public School",High School,SEATTLE
17001,Seattle Public Schools,4263,Residential Consortium,PK,12,Martha  Lawson,mlawson@seattleschools.org,206.252.0883," Public School, Special Education School",PK-12,SEATTLE
17210,Federal Way School District,1759,Internet Academy,PK,12,Caitlin  Boline,cboline@fwps.org,253.945.2230," Alternative School, Public School",PK-12,Federal Way
17210,Federal Way School District,2417,Federal Way High School,9,12,Matt  Oberst,moberst@fwps.org,253.945.5400," Public School, Regular School",High School,FEDERAL WAY
17210,Federal Way School District,3584,Thomas Jefferson High School,9,12,Adrienne  Chacon,achacon@fwps.org,253.945.5600," Public School, Regular School",High School,AUBURN
17210,Federal Way School District,3766,Decatur High School,9,12,Jamie  Tough,jtough@fwps.org,253.945.5200," Public School, Regular School",High School,FEDERAL WAY
17210,Federal Way School District,4570,Todd Beamer High School,9,12,Anali  Weatherhead,aweather@fwps.org,253.945.2570," Public School, Regular School",High School,FEDERAL WAY
17216,Enumclaw School District,1523,Special Ed School,PK,12,Keri  Marquand,keri_marquand@enumclaw.wednet.edu,360.802.7104," Public School, Special Education School",PK-12,Enumclaw
17216,Enumclaw School District,3330,Enumclaw Sr High School,9,12,Aaron  Lee,aaron_lee@enumclaw.wednet.edu,360.802.7669," Public School, Regular School",High School,Enumclaw
17400,Mercer Island School District,3029,Mercer Island High School,9,12,Vicki  Puckett,vicki.puckett@mercerislandschools.org,206.236.3350," Public School, Regular School",High School,Mercer Island
17401,Highline School District,2270,Puget Sound Skills Center,10,12,Todd  Moorhead,Todd.Moorhead@highlineschools.org,206.631.7300," Public School, Vocational/technical school",High School,Seattle
17401,Highline School District,2325,Highline High School,9,12,  ,,," Public School, Regular School",High School,Burien
17401,Highline School District,3099,Evergreen High School,9,12,Jacqueline   Downey,jacqueline.downey@highlineschools.org,206.631.6150," Public School, Regular School",High School,Seattle
17401,Highline School District,3279,Mount Rainier High School,9,12,Kyle  Linman,kyle.linman@highlineschools.org,206.631.7000," Public School, Regular School",High School,Des Moines
17401,Highline School District,3483,Tyee High School,9,12,Timothy  Schlosser,timothy.schlosser@highlineschools.org,206.631.6400," Public School, Regular School",High School,SeaTac
17402,Vashon Island School District,1822,Family Link,K ,12,Danny  Rock,drock@vashonsd.org,206.463.9171," Alternative School, Public School",K-12,VASHON
17402,Vashon Island School District,2419,Vashon Island High School,9,12,Andrew  Guss,aguss@vashonsd.org,206.463.8682," Public School, Regular School",High School,VASHON
17403,Renton School District,1648,Out Of District Facility,PK,12,Jennifer  Traufler,jennifer.traufler@rentonschools.us,425.204.2302," Public School, Special Education School",PK-12,Renton
17403,Renton School District,1784,H.O.M.E. Program,K ,12,Kay  Edgerton,kathryn.edgerton@rentonschools.us,425.204.2520," Alternative School, Public School",K-12,Renton
17403,Renton School District,2475,Renton Senior High School,9,12,Gia  San Martin,giovanna.sanmartin@rentonschools.us,425.204.3400," Public School, Regular School",High School,Renton
17403,Renton School District,3630,Hazen Senior High School,9,12,Kate  O'Brien,katie.obrien@rentonschools.us,425.204.4200," Public School, Regular School",High School,Renton
17403,Renton School District,3741,Lindbergh Senior High School,9,12,Hkwauaquejol  Hollins,hkwauaquejol.hollins@rentonschools.us,425.204.3200," Public School, Regular School",High School,Renton
17404,Skykomish School District,2513,Skykomish High School,9,12,Thomas  JaY,tjay@skykomish.wednet.edu,360.677.2623," Public School, Regular School",High School,Skykomish
17405,Bellevue School District,2701,Bellevue High School,9,12,Vic (Victor)  Anderson,andersonv@bsd405.org,425.456.7000," Public School, Regular School",High School,Bellevue
17405,Bellevue School District,3282,Sammamish Senior High,9,12,Derrick  Richardson,richardsonde@bsd405.org,425.456.7600," Public School, Regular School",High School,Bellevue
17405,Bellevue School District,3486,Newport Senior High School,9,12,Dion  Yahoudy,yahoudyd@bsd405.org,425.456.7400," Public School, Regular School",High School,Bellevue
17405,Bellevue School District,3588,Interlake Senior High School,9,12,Maria  Frieboes-Gee,frieboem@bsd405.org,425.456.7200," Public School, Regular School",High School,Bellevue
17406,Tukwila School District,2848,Foster Senior High School,9,12,Megan  McGroarty,mcgroartym@tukwila.wednet.edu,206.901.7905," Public School, Regular School",High School,Tukwila
17407,Riverview School District,1756,CLIP,9,12,John  Bomar,bomarj@rsd407.org,425.844.4960," Alternative School, Public School",High School,Carnation
17407,Riverview School District,1854,PARADE,PK,12,John  Bomar,bomarj@rsd407.org,425.844.4960," Alternative School, Public School",PK-12,Carnation
17407,Riverview School District,3524,Cedarcrest High School,9,12,Ray  LaBate,labater@rsd407.org,425.844.4800," Public School, Regular School",High School,Duvall
17408,Auburn School District,2702,West Auburn Senior High School,9,12,Michael  Robinson,mrobinson@auburn.wednet.edu,253.931.4990," Alternative School, Public School",High School,AUBURN
17408,Auburn School District,2795,Auburn Senior High School,9,12,Jeffry  Gardner,jgardner@auburn.wednet.edu,253.931.4880," Public School, Regular School",High School,AUBURN
17408,Auburn School District,4474,Auburn Riverside High School,9,12,DAVID  HALFORD,dhalford@auburn.wednet.edu,253.804.5154," Public School, Regular School",High School,AUBURN
17409,Tahoma School District,2849,Tahoma Senior High School,9,12,Terry  Duty,tduty@tahomasd.us,425.413.6201," Public School, Regular School",High School,Maple Valley
17410,Snoqualmie Valley School District,1502,Two Rivers School,9,12,Rhonda L Schmidt,schmidtr@svsd410.org,425.831.4200," Alternative School, Public School",High School,NORTH BEND
17410,Snoqualmie Valley School District,2850,Mount Si High School,9,12,John  Belcher,belcherjh@svsd410.org,425.831.8100," Public School, Regular School",High School,SNOQUALMIE
17411,Issaquah School District,1624,Issaquah Special Services,PK,12,Dana  Bailey,baileyd@issaquah.wednet.edu,425.837.7085," Public School, Special Education School",PK-12,ISSAQUAH
17411,Issaquah School District,3385,Issaquah High School,9,12,Andrea Marlo McCormick,McCormickA@issaquah.wednet.edu,425.837.6000," Public School, Regular School",High School,ISSAQUAH
17411,Issaquah School District,3962,Liberty Sr High School,9,12,Sean  Martin,MartinS3@issaquah.wednet.edu,425.837.4800," Public School, Regular School",High School,RENTON
17411,Issaquah School District,4495,Skyline High School,9,12,Kieth  Hennig,hennigk@issaquah.wednet.edu,425.837.7706," Public School, Regular School",High School,SAMMAMISH
17412,Shoreline School District,1667,Handicapped Contractual Services,PK,12,Rebecca Lee Miner,rebecca.miner@shorelineschools.org,206.393.4203," Public School, Special Education School",PK-12,Shoreline
17412,Shoreline School District,2612,Fircrest Residential Habilitation,K ,12,Hillery  Clark,hillery.clark@shorelineschools.org,206.361.3165, Institution,K-12,Shoreline
17412,Shoreline School District,3343,Shorecrest High School,9,12,Lisa  Gonzalez,lisa.gonzalez@shorelineschools.org,206.393.4289," Public School, Regular School",High School,Shoreline
17412,Shoreline School District,3921,Shorewood High School,9,12,Bill  Dunbar,bill.dunbar@shorelineschools.org,206.393.4374," Public School, Regular School",High School,Shoreline
17414,Lake Washington School District,1649,Contractual Schools,PK,12,Shannon  Hitch,shhitch@lwsd.org,425.936.1301," Alternative School, Contract School",PK-12,Redmond
17414,Lake Washington School District,1688,Emerson K-12,K ,12,Nell  Ballard-Jones,nballard-jones@lwsd.org,425.936.2311," Alternative School, Public School",K-12,Kirkland
17414,Lake Washington School District,1804,Futures School,9,12,Kelly  Clapp,kclapp@lwsd.org,425.936.1600," Alternative School, Public School",High School,Kirkland
17414,Lake Washington School District,2739,Lake Washington High,9,12,Christina  Thomas,cthomas@lwsd.org,425.936.1700," Public School, Regular School",High School,Kirkland
17414,Lake Washington School District,3528,Redmond High,9,12,Jill  Vanderveer,jvanderveer@lwsd.org,425.936.1800," Public School, Regular School",High School,Redmond
