SchoolCode,SchoolName_x,total_cs_courses,yearly_enrolled_in_cs,school_teaches_cs,LEACode,LEAName,SchoolName_y,LowestGrade,HighestGrade,PrincipalName,Email,Phone,OrgCategoryList,GradeCategory,City,SchoolName,STREET,STATE,ZIP,NMCNTY,LAT,LON,NMCBSA,NMCSA
3564,Cascade High School,8,34,Teaches Computer Science,4228,Cascade School District,Cascade High School,9,12,Elia  Ala'Ilima-Daley,edaley@cascadesd.org,509.548.5277," Public School, Regular School",High School,Leavenworth,Cascade High School,10190 Chumstick Hwy,WA,98826,Chelan County,47.601802,-120.654468,"Wenatchee, WA",N
3576,Sehome High School,4,110,Teaches Computer Science,37501,Bellingham School District,Sehome High School,9,12,Michelle  Kuss-Cybula,michelle.kuss-cybula@bellinghamschools.org,360.676.6481," Public School, Regular School",High School,Bellingham,Sehome High School,2700 Bill McDonald Pkwy,WA,98225,Whatcom County,48.727232,-122.481552,"Bellingham, WA",N
3579,Republic Senior High School,1,8,Teaches Computer Science,10309,Republic School District,Republic Senior High School,9,12,Chris  Burch,cburch@republicsd.org,509.775.3327," Public School, Regular School",High School,Republic,Republic Senior High School,30306 HIGHWAY 20 E,WA,99166,Ferry County,48.641652,-118.72662,N,N
3584,Thomas Jefferson High School,6,285,Teaches Computer Science,17210,Federal Way School District,Thomas Jefferson High School,9,12,Adrienne  Chacon,achacon@fwps.org,253.945.5600," Public School, Regular School",High School,Auburn,Thomas Jefferson High School,4248 S 288TH ST,WA,98001,King County,47.344411,-122.279106,"Seattle-Tacoma-Bellevue, WA","Seattle-Tacoma, WA"
3588,Interlake Senior High School,10,610,Teaches Computer Science,17405,Bellevue School District,Interlake Senior High School,9,12,Maria  Frieboes-Gee,frieboem@bsd405.org,425.456.7200," Public School, Regular School",High School,Bellevue,Interlake Senior High School,16245 NE 24th Street,WA,98008,King County,47.629384,-122.123292,"Seattle-Tacoma-Bellevue, WA","Seattle-Tacoma, WA"
3597,Winlock Senior High,2,50,Teaches Computer Science,21232,Winlock School District,Winlock Senior High,9,12,Brian   Maley,bmaley@winlock.wednet.edu,360.785.3537," Public School, Regular School",High School,Winlock,Winlock Senior High,241 NORTH MILITARY ROAD,WA,98596,Lewis County,46.490109,-122.892226,"Centralia, WA","Seattle-Tacoma, WA"
3600,Curtis Senior High,6,95,Teaches Computer Science,27083,University Place School District,Curtis Senior High,10,12,Tom  Adams,tadams@upsd83.org,253.566.5710," Public School, Regular School",High School,University Place,Curtis Senior High,8425 40TH W,WA,98466,Pierce County,47.221497,-122.549819,"Seattle-Tacoma-Bellevue, WA","Seattle-Tacoma, WA"
3610,Cheney High School,12,208,Teaches Computer Science,32360,Cheney School District,Cheney High School,9,12,Troy  Heuett,theuett@cheneysd.org,509.559.4001," Public School, Regular School",High School,Cheney,Cheney High School,460 N SIXTH ST,WA,99004,Spokane County,47.498005,-117.577152,"Spokane-Spokane Valley, WA","Spokane-Spokane Valley-Coeur d'Alene, WA-ID"
3630,Hazen Senior High School,10,366,Teaches Computer Science,17403,Renton School District,Hazen Senior High School,9,12,Kate  O'Brien,katie.obrien@rentonschools.us,425.204.4200," Public School, Regular School",High School,Renton,Hazen Senior High School,1101 Hoquiam Ave NE,WA,98059,King County,47.501587,-122.152461,"Seattle-Tacoma-Bellevue, WA","Seattle-Tacoma, WA"
3640,Kentridge High School,8,146,Teaches Computer Science,17415,Kent School District,Kentridge High School,9,12,Mike  Albrecht,mike.albrecht@kent.k12.wa.us,(253) 373-7345," Public School, Regular School",High School,Kent,Kentridge High School,12430 SE 208th ST,WA,98031,King County,47.416806,-122.174035,"Seattle-Tacoma-Bellevue, WA","Seattle-Tacoma, WA"
3648,Washington High School,8,232,Teaches Computer Science,27402,Franklin Pierce School District,Washington High School,9,12,Brent  Whitemarsh,bwhitemarsh@fpschools.org,253.298.3000," Public School, Regular School",High School,Tacoma,Washington High School,12420 Ainsworth Ave S,WA,98444,Pierce County,47.144016,-122.455326,"Seattle-Tacoma-Bellevue, WA","Seattle-Tacoma, WA"
3688,Mariner High School,4,86,Teaches Computer Science,31006,Mukilteo School District,Mariner High School,9,12,Nathan A Duchesne,duchesnena@mukilteo.wednet.edu,425.366.5700," Public School, Regular School",High School,Everett,Mariner High School,200 120th Street SW,WA,98204,Snohomish County,47.888265,-122.236135,"Seattle-Tacoma-Bellevue, WA","Seattle-Tacoma, WA"
3710,Timberline High School,6,38,Teaches Computer Science,34003,North Thurston Public Schools,Timberline High School,9,12,Paul  Dean,pdean@nthurston.k12.wa.us,360.412.4860," Public School, Regular School",High School,Lacey,Timberline High School,6120 Mullen Rd SE,WA,98503,Thurston County,47.008121,-122.800583,"Olympia-Tumwater, WA","Seattle-Tacoma, WA"
3731,Kamiakin High School,13,281,Teaches Computer Science,3017,Kennewick School District,Kamiakin High School,9,12,Chris  Chelin,chris.chelin@ksd.org,509.222.6478," Public School, Regular School",High School,Kennewick,Kamiakin High School,600 NORTH ARTHUR STREET,WA,99336,Benton County,46.217005,-119.188111,"Kennewick-Richland, WA",N
3741,Lindbergh Senior High School,8,298,Teaches Computer Science,17403,Renton School District,Lindbergh Senior High School,9,12,Hkwauaquejol  Hollins,hkwauaquejol.hollins@rentonschools.us,425.204.3200," Public School, Regular School",High School,Renton,Lindbergh Senior High School,16426 128th Ave SE,WA,98058,King County,47.455056,-122.166531,"Seattle-Tacoma-Bellevue, WA","Seattle-Tacoma, WA"
3755,Lynnwood High School,4,136,Teaches Computer Science,31015,Edmonds School District,Lynnwood High School,9,12,Mike  Piper,piperm@edmonds.wednet.edu,425.431.7523," Public School, Regular School",High School,Bothell,Lynnwood High School,18218 NORTH RD,WA,98012,Snohomish County,47.834587,-122.273781,"Seattle-Tacoma-Bellevue, WA","Seattle-Tacoma, WA"
3766,Decatur High School,6,134,Teaches Computer Science,17210,Federal Way School District,Decatur High School,9,12,Jamie  Tough,jtough@fwps.org,253.945.5200," Public School, Regular School",High School,Federal Way,Decatur High School,2800 SW 320TH ST,WA,98023,King County,47.316958,-122.367895,"Seattle-Tacoma-Bellevue, WA","Seattle-Tacoma, WA"
3771,Juanita High,6,176,Teaches Computer Science,17414,Lake Washington School District,Juanita High,9,12,Kelly  Clapp,kclapp@lwsd.org,425.936.1600," Public School, Regular School",High School,Kirkland,Juanita High,10601 NE 132ND,WA,98034,King County,47.715199,-122.198797,"Seattle-Tacoma-Bellevue, WA","Seattle-Tacoma, WA"
3833,Hanford High School,8,150,Teaches Computer Science,3400,Richland School District,Hanford High School,9,12,Tory  Christensen,tory.christensen@rsd.edu,509.967.6500," Public School, Regular School",High School,Richland,Hanford High School,450 Hanford Street,WA,99352,Benton County,46.325364,-119.267625,"Kennewick-Richland, WA",N
3880,Foss,4,398,Teaches Computer Science,27010,Tacoma School District,Foss,9,12,Lysandra  Ness,lness@tacoma.k12.wa.us,253.571.7300," Public School, Regular School",High School,Tacoma,Foss,2112 S Tyler St,WA,98405,Pierce County,47.239945,-122.495075,"Seattle-Tacoma-Bellevue, WA","Seattle-Tacoma, WA"
3921,Shorewood High School,11,384,Teaches Computer Science,17412,Shoreline School District,Shorewood High School,9,12,Bill  Dunbar,bill.dunbar@shorelineschools.org,206.393.4374," Public School, Regular School",High School,Shoreline,Shorewood High School,17300 Fremont Avenue N.,WA,98133,King County,47.753598,-122.350053,"Seattle-Tacoma-Bellevue, WA","Seattle-Tacoma, WA"
3962,Liberty Sr High School,9,304,Teaches Computer Science,17411,Issaquah School District,Liberty Sr High School,9,12,Sean  Martin,martins3@issaquah.wednet.edu,425.837.4800," Public School, Regular School",High School,Renton,Liberty Sr High School,16655 SE 136TH ST,WA,98059,King County,47.479781,-122.117618,"Seattle-Tacoma-Bellevue, WA","Seattle-Tacoma, WA"
4081,Gig Harbor High,10,177,Teaches Computer Science,27401,Peninsula School District,Gig Harbor High,9,12,Tom  Leacy,leacyt@psd401.net,253.530.1400," Public School, Regular School",High School,Gig Harbor,Gig Harbor High,5101 Rosedale St NW,WA,98335,Pierce County,47.331205,-122.605587,"Seattle-Tacoma-Bellevue, WA","Seattle-Tacoma, WA"
4093,Stanton Academy,8,132,Teaches Computer Science,39007,Yakima School District,Stanton Academy,9,12,Dave  Chaplin,chaplin.dave@yakimaschools.org,509.573.1201," Alternative School, Public School",High School,Yakima,Stanton Academy,802 River Rd,WA,98902,Yakima County,46.617475,-120.523045,"Yakima, WA",N
4100,Olympic High School,6,121,Teaches Computer Science,18401,Central Kitsap School District,Olympic High School,9,12,Rebecca  Johnson,rebeccaj@cksd.wednet.edu,360.662.2700," Public School, Regular School",High School,Bremerton,Olympic High School,7077 STAMPEDE BLVD NW,WA,98311,Kitsap County,47.625746,-122.665104,"Bremerton-Silverdale, WA","Seattle-Tacoma, WA"
4104,Prairie High School,4,202,Teaches Computer Science,6119,Battle Ground School District,Prairie High School,9,12,Stephanie  Watts,watts.stephanie@battlegroundps.org,360.885.5000," Public School, Regular School",High School,Battle Ground,,,,,,,,,
4109,Oakland High School,6,134,Teaches Computer Science,27010,Tacoma School District,Oakland High School,9,12,John  Jones,jjones@tacoma.k12.wa.us,253.571.5102," Alternative School, Public School",High School,Tacoma,Oakland High School,3319 S Adams St,WA,98409,Pierce County,47.229912,-122.485698,"Seattle-Tacoma-Bellevue, WA","Seattle-Tacoma, WA"
4118,Tri-Tech Skills Center,8,104,Teaches Computer Science,3017,Kennewick School District,Tri-Tech Skills Center,9,12,Paul  Randall,paul.randall@ksd.org,509.222.7300," Public School, Vocational/technical school",High School,Kennewick,Tri-Tech Skills Center,5929 WEST METALINE AVENUE,WA,99336,Benton County,46.217185,-119.201399,"Kennewick-Richland, WA",N
4128,Kentwood High School,12,162,Teaches Computer Science,17415,Kent School District,Kentwood High School,9,12,Samantha  Ketover,samantha.ketover@kent.k12.wa.us,253.373.7680," Public School, Regular School",High School,Covington,Kentwood High School,25800 164th Ave SE,WA,98042,King County,47.370347,-122.119847,"Seattle-Tacoma-Bellevue, WA","Seattle-Tacoma, WA"
4149,South Whidbey High School,2,2,Teaches Computer Science,15206,South Whidbey School District,South Whidbey High School,9,12,John  Patton,jpatton@sw.wednet.edu,360.221.4300," Public School, Regular School",High School,Langley,South Whidbey High School,5675 Maxwelton,WA,98260,Island County,48.005686,-122.409954,"Oak Harbor, WA","Seattle-Tacoma, WA"
4158,Spanaway Lake High School,6,126,Teaches Computer Science,27403,Bethel School District,Spanaway Lake High School,9,12,Susie  Askew,saskew@bethelsd.org,253.683.5600," Public School, Regular School",High School,Spanaway,Spanaway Lake High School,1305 168th Street East,WA,98387,Pierce County,47.10564,-122.412366,"Seattle-Tacoma-Bellevue, WA","Seattle-Tacoma, WA"
4162,Mountain View High School,10,370,Teaches Computer Science,6114,Evergreen School District (Clark),Mountain View High School,9,12,Matthew  Johnson,matthew.johnson@evergreenps.org,360.604.6100," Public School, Regular School",High School,Vancouver,Mountain View High School,1500 SE Blairmont Dr,WA,98683,Clark County,45.612452,-122.518396,"Portland-Vancouver-Hillsboro, OR-WA","Portland-Vancouver-Salem, OR-WA"
4201,Lynden High School,2,38,Teaches Computer Science,37504,Lynden School District,Lynden High School,9,12,Ian   Freeman,freemani@lynden.wednet.edu,360.354.4443," Public School, Regular School",High School,Lynden,Lynden High School,1201 BRADLEY RD,WA,98264,Whatcom County,48.95218,-122.427933,"Bellingham, WA",N
4206,Kettle Falls High School,4,26,Teaches Computer Science,33212,Kettle Falls School District,Kettle Falls High School,9,12,Curtis  Corvino,ccorvino@kfschools.org,509.738.6725," Public School, Regular School",High School,Kettle Falls,Kettle Falls High School,1275 JUNIPER ST,WA,99141,Stevens County,48.600202,-118.058869,"Spokane-Spokane Valley, WA","Spokane-Spokane Valley-Coeur d'Alene, WA-ID"
4208,Woodinville Hs,8,460,Teaches Computer Science,17417,Northshore School District,Woodinville Hs,9,12,Kurt  Criscione,kcriscione@nsd.org,425.408.7400," Public School, Regular School",High School,Woodinville,Woodinville Hs,19819 136 NE,WA,98072,King County,47.771243,-122.161919,"Seattle-Tacoma-Bellevue, WA","Seattle-Tacoma, WA"
4225,New Market Skills Center,2,72,Teaches Computer Science,34033,Tumwater School District,New Market Skills Center,11,12,Kris  Blum,kris.blum@newmarketskills.com,360.570.4500," Public School, Vocational/technical school",High School,Tumwater,New Market Skills Center,7299 New Market Street SW,WA,98501,Thurston County,46.982815,-122.914549,"Olympia-Tumwater, WA","Seattle-Tacoma, WA"
4233,Marysville Mountain View High School,11,62,Teaches Computer Science,31025,Marysville School District,Marysville Mountain View High School,9,12,Dawn  Bechtholdt,dawn_bechtholdt@msvl.k12.wa.us,360.653.0628," Alternative School, Public School",High School,Tulalip,,,,,,,,,
4247,Aces High School,4,42,Teaches Computer Science,31006,Mukilteo School District,Aces High School,9,12,Amy D Montanye-Johnson,montanyejohnsonad@mukilteo.wednet.edu,425.366.3900," Alternative School, Public School",High School,Everett,Aces High School,9700 Holly Drive,WA,98204,Snohomish County,47.910709,-122.244295,"Seattle-Tacoma-Bellevue, WA","Seattle-Tacoma, WA"
4274,Sultan Senior High School,6,100,Teaches Computer Science,31311,Sultan School District,Sultan Senior High School,9,12,Sarita  Whitmire-Skeith,sarita.whitmire@sultan.k12.wa.us,360.793.9860," Public School, Regular School",High School,Sultan,Sultan Senior High School,13715 310th Ave S.E.,WA,98294,Snohomish County,47.873121,-121.813309,"Seattle-Tacoma-Bellevue, WA","Seattle-Tacoma, WA"
4287,Weston High School,3,16,Teaches Computer Science,31016,Arlington School District,Weston High School,9,12,Andrea  Dixon,ahundredmark@asd.wednet.edu,360.618.6340," Alternative School, Public School",High School,Arlington,Weston High School,4407 172nd Street NE,WA,98223,Snohomish County,48.153058,-122.173033,"Seattle-Tacoma-Bellevue, WA","Seattle-Tacoma, WA"
4427,River Ridge High School,4,104,Teaches Computer Science,34003,North Thurston Public Schools,River Ridge High School,9,12,Serenity  Malloy,smalloy@nthurston.k12.wa.us,360.412.4820," Public School, Regular School",High School,Lacey,River Ridge High School,350 River Ridge Drive SE,WA,98513,Thurston County,47.056063,-122.751945,"Olympia-Tumwater, WA","Seattle-Tacoma, WA"
4433,Kamiak High School,8,264,Teaches Computer Science,31006,Mukilteo School District,Kamiak High School,9,12,Eric S Hong,honges@mukilteo.wednet.edu,425.366.5400," Public School, Regular School",High School,Mukilteo,Kamiak High School,10801 Harbour Pointe Blvd,WA,98275,Snohomish County,47.901718,-122.301922,"Seattle-Tacoma-Bellevue, WA","Seattle-Tacoma, WA"
4438,Henry M. Jackson High School,14,434,Teaches Computer Science,31002,Everett School District,Henry M. Jackson High School,9,12,David  Peters,dpeters@everettsd.org,425.385.7000," Public School, Regular School",High School,Mill Creek,Henry M. Jackson High School,1508 136th St. SE,WA,98012,Snohomish County,47.873329,-122.208915,"Seattle-Tacoma-Bellevue, WA","Seattle-Tacoma, WA"
4439,Eastlake High School,14,372,Teaches Computer Science,17414,Lake Washington School District,Eastlake High School,9,12,Chris  Bede,cbede@lwsd.org,425.936.1500," Public School, Regular School",High School,Sammamish,Eastlake High School,400 228th NE,WA,98074,King County,47.613559,-122.031221,"Seattle-Tacoma-Bellevue, WA","Seattle-Tacoma, WA"
4474,Auburn Riverside High School,8,120,Teaches Computer Science,17408,Auburn School District,Auburn Riverside High School,9,12,David  Halford,dhalford@auburn.wednet.edu,253.804.5154," Public School, Regular School",High School,Auburn,Auburn Riverside High School,501 ORAVETZ RD SE,WA,98092,King County,47.267756,-122.222204,"Seattle-Tacoma-Bellevue, WA","Seattle-Tacoma, WA"
4484,Southridge High School,16,114,Teaches Computer Science,3017,Kennewick School District,Southridge High School,9,12,Molly  Hamaker-Teals,molly.hamaker-teals@ksd.org,509.222.6528," Public School, Regular School",High School,Kennewick,Southridge High School,3320 Southridge Boulevard,WA,99338,Benton County,46.179459,-119.194826,"Kennewick-Richland, WA",N
4491,Mt Spokane High School,4,196,Teaches Computer Science,32354,Mead School District,Mt Spokane High School,9,12,Darren  Nelson,darren.nelson@mead354.org,509.465.7210," Public School, Regular School",High School,Mead,Mt Spokane High School,6015 E MT. SPOKANE PARK DR,WA,99021,Spokane County,47.788536,-117.323252,"Spokane-Spokane Valley, WA","Spokane-Spokane Valley-Coeur d'Alene, WA-ID"
4492,Kentlake High School,6,138,Teaches Computer Science,17415,Kent School District,Kentlake High School,9,12,Heidi  Maurer,heidi.maurer@kent.k12.wa.us,253.373.4900," Public School, Regular School",High School,Kent,Kentlake High School,21401 SE Falcon Way,WA,98042,King County,47.331397,-122.057254,"Seattle-Tacoma-Bellevue, WA","Seattle-Tacoma, WA"
4495,Skyline High School,8,374,Teaches Computer Science,17411,Issaquah School District,Skyline High School,9,12,Kieth  Hennig,hennigk@issaquah.wednet.edu,425.837.7706," Public School, Regular School",High School,Sammamish,Skyline High School,1122 228TH AVE SE,WA,98075,King County,47.600062,-122.032025,"Seattle-Tacoma-Bellevue, WA","Seattle-Tacoma, WA"
4500,A G West Black Hills High School,4,80,Teaches Computer Science,34033,Tumwater School District,A G West Black Hills High School,9,12,Dave  Myers,dave.myers@tumwater.k12.wa.us,360.709.7800," Public School, Regular School",High School,Tumwater,A G West Black Hills High School,7741 Littlerock Road SW,WA,98512,Thurston County,46.978091,-122.948107,"Olympia-Tumwater, WA","Seattle-Tacoma, WA"
4504,Skyview High School,12,452,Teaches Computer Science,6037,Vancouver School District,Skyview High School,9,12,Andy  Meyer,andy.meyer@vansd.org,360.313.4200," Public School, Regular School",High School,Vancouver,Skyview High School,1300 NW 139TH ST,WA,98685,Clark County,45.722716,-122.683775,"Portland-Vancouver-Hillsboro, OR-WA","Portland-Vancouver-Salem, OR-WA"
4515,Squalicum High School,8,152,Teaches Computer Science,37501,Bellingham School District,Squalicum High School,9,12,Miguel  Perez,miguel.perez@bellinghamschools.org,360.676.6471," Public School, Regular School",High School,Bellingham,Squalicum High School,3773 E McLeod Rd,WA,98226,Whatcom County,48.784229,-122.422766,"Bellingham, WA",N
4523,Heritage High School,6,155,Teaches Computer Science,6114,Evergreen School District (Clark),Heritage High School,9,12,Derek  Garrison,derek.garrison@evergreenps.org,360.604.3400," Public School, Regular School",High School,Vancouver,Heritage High School,7825 NE 130th Avenue,WA,98682,Clark County,45.679718,-122.537781,"Portland-Vancouver-Hillsboro, OR-WA","Portland-Vancouver-Salem, OR-WA"
4528,Monroe High School,3,55,Teaches Computer Science,31103,Monroe School District,Monroe High School,9,12,Ed  Crow,crowe@monroe.wednet.edu,360.804.4500," Public School, Regular School",High School,Monroe,Monroe High School,17001 Tester Rd.,WA,98272,Snohomish County,47.843364,-122.009827,"Seattle-Tacoma-Bellevue, WA","Seattle-Tacoma, WA"
4540,Emerald Ridge High School,8,100,Teaches Computer Science,27003,Puyallup School District,Emerald Ridge High School,10,12,Richard  Lasso,lassor@puyallup.k12.wa.us,253.435.6300," Public School, Regular School",High School,Puyallup,Emerald Ridge High School,12405 184th St E,WA,98374,Pierce County,47.089555,-122.262908,"Seattle-Tacoma-Bellevue, WA","Seattle-Tacoma, WA"
4567,Camas High School,6,150,Teaches Computer Science,6117,Camas School District,Camas High School,9,12,Elizabeth  Curran-Sejkora,liza.sejkora@camas.wednet.edu,360.833.5750," Public School, Regular School",High School,Camas,Camas High School,26900 SE 15TH ST,WA,98607,Clark County,45.612345,-122.398635,"Portland-Vancouver-Hillsboro, OR-WA","Portland-Vancouver-Salem, OR-WA"
4569,White River High School,4,116,Teaches Computer Science,27416,White River School District,White River High School,9,12,Cody  Mothershead,cmotherhead@whiteriver.wednet.edu,360.829.3352," Public School, Regular School",High School,Buckley,White River High School,26928 120th St E,WA,98321,Pierce County,47.146011,-122.073185,"Seattle-Tacoma-Bellevue, WA","Seattle-Tacoma, WA"
4570,Todd Beamer High School,6,175,Teaches Computer Science,17210,Federal Way School District,Todd Beamer High School,9,12,Anali  Weatherhead,aweather@fwps.org,253.945.2570," Public School, Regular School",High School,Federal Way,Todd Beamer High School,35999 16TH AV S,WA,98003,King County,47.277645,-122.314783,"Seattle-Tacoma-Bellevue, WA","Seattle-Tacoma, WA"
4585,Bonney Lake High School,6,168,Teaches Computer Science,27320,Sumner School District,Bonney Lake High School,9,12,Cris  Turner,cris_turner@sumnersd.org,253.891.5700," Public School, Regular School",High School,Bonney Lake,Bonney Lake High School,10920 199th Ave Ct E,WA,98391,Pierce County,47.157571,-122.162368,"Seattle-Tacoma-Bellevue, WA","Seattle-Tacoma, WA"
5033,Graham Kapowsin High School,12,342,Teaches Computer Science,27403,Bethel School District,Graham Kapowsin High School,9,12,Matt  Yarkosky,myarkosky@bethelsd.org,253.683.6100," Public School, Regular School",High School,Graham,Graham Kapowsin High School,22100 108th Ave E,WA,98338,Pierce County,47.057848,-122.286904,"Seattle-Tacoma-Bellevue, WA","Seattle-Tacoma, WA"
5037,Auburn Mountainview High School,9,202,Teaches Computer Science,17408,Auburn School District,Auburn Mountainview High School,9,12,Terri  Herren,therren@auburn.wednet.edu,253.804.4539," Public School, Regular School",High School,Auburn,Auburn Mountainview High School,28900 124th AVE SE,WA,98092,King County,47.341942,-122.172983,"Seattle-Tacoma-Bellevue, WA","Seattle-Tacoma, WA"
5071,Insight School Of Washington,4,62,Teaches Computer Science,5402,Quillayute Valley School District,Insight School Of Washington,9,12,Darice  Bales,darice.bales@k12insightwa.org,425.533.2700 ext. 2004," Alternative School, Public School",High School,Forks,Insight School Of Washington,411 South Spartan Ave,WA,98331,Clallam County,47.949359,-124.383426,"Port Angeles, WA",N
5085,Kingston High School,2,24,Teaches Computer Science,18400,North Kitsap School District,Kingston High School,9,12,Jack P Simsonson,jsimonson@nkschools.org,360.396.3105," Public School, Regular School",High School,Kingston,Kingston High School,26201 Siyaya Avenue NE,WA,98346,Kitsap County,47.799979,-122.520247,"Bremerton-Silverdale, WA","Seattle-Tacoma, WA"
5104,Hayes Freedom High School,6,130,Teaches Computer Science,6117,Camas School District,Hayes Freedom High School,9,12,Amy K Holmes,amy.holmes@camas.wednet.edu,360.833.5602," Public School, Regular School",High School,Camas,Hayes Freedom High School,1919 NE Ione St,WA,98607,Clark County,45.594041,-122.401361,"Portland-Vancouver-Hillsboro, OR-WA","Portland-Vancouver-Salem, OR-WA"
5111,Union High School,10,430,Teaches Computer Science,6114,Evergreen School District (Clark),Union High School,9,12,Griffin  Peyton,griffin.peyton@evergreenps.org,360.604.6250," Public School, Regular School",High School,Camas,Union High School,6201 NW Friberg-Strunk St,WA,98607,Clark County,45.624579,-122.468221,"Portland-Vancouver-Hillsboro, OR-WA","Portland-Vancouver-Salem, OR-WA"
5128,Glacier Peak High School,8,198,Teaches Computer Science,31201,Snohomish School District,Glacier Peak High School,9,12,Jeff  Larson,jeffrey.larson@sno.wednet.edu,360.563.7300," Public School, Regular School",High School,Snohomish ,,,,,,,,,
5164,Chiawana High School,16,554,Teaches Computer Science,11001,Pasco School District,Chiawana High School,8,12,John  Wallwork,jwallwork@psd1.org,509.543.6786," Public School, Regular School",High School,Pasco,Chiawana High School,8125 W Argent Rd,WA,99301,Franklin County,46.257593,-119.197522,"Kennewick-Richland, WA",N
5169,Science And Math Institute,7,210,Teaches Computer Science,27010,Tacoma School District,Science And Math Institute,9,12,Jon   Ketler,jketler@tacoma.k12.wa.us,253.571.2300," Public School, Regular School",High School,Tacoma,Science And Math Institute,5501 N. Pearl St,WA,98407,Pierce County,47.303228,-122.527872,"Seattle-Tacoma-Bellevue, WA","Seattle-Tacoma, WA"
5197,Washington Virtual Academy Omak High School,6,166,Teaches Computer Science,24019,Omak School District,Washington Virtual Academy Omak High School,9,12,Jayme  Evans,jaevans@k12.com,253.964.1068," Public School, Regular School",High School,Omak,Washington Virtual Academy Omak High School,619 West Bartlett Ave.,WA,98841,Okanogan County,48.409405,-119.534304,N,N
5213,Marysville Pilchuck High School,4,462,Teaches Computer Science,31025,Marysville School District,Marysville Pilchuck High School,9,12,Dave   Rose,david_rose@msd25.org,360.965.2000," Public School, Regular School",High School,Marysville,Marysville Pilchuck High School,5611 108th Street NE,WA,98271,Snohomish County,48.096689,-122.154672,"Seattle-Tacoma-Bellevue, WA","Seattle-Tacoma, WA"
5226,Selkirk High School,4,18,Teaches Computer Science,26070,Selkirk School District,Selkirk High School,9,12,Brent  Deroest,bderoest@selkirkschools.org,509.446.3505," Public School, Regular School",High School,Ione,Selkirk High School,10372 Highway 31,WA,99139,Pend Oreille County,48.81916,-117.39802,"Spokane-Spokane Valley, WA","Spokane-Spokane Valley-Coeur d'Alene, WA-ID"
5260,Seattle Skills Center,4,25,Teaches Computer Science,17001,Seattle Public Schools,Seattle Skills Center,9,12,Dan  Golosman,dpgolosman@seattleschools.org,206.252.0730," Public School, Vocational/technical school",High School,Seattle,Seattle Skills Center,2445 3rd Ave S,WA,98124,King County,47.5805,-122.330311,"Seattle-Tacoma-Bellevue, WA","Seattle-Tacoma, WA"
5265,Tesla Stem High School,23,1814,Teaches Computer Science,17414,Lake Washington School District,Tesla Stem High School,9,12,Cindy  Duenas,cduenas@lwsd.org,425.936.2770," Alternative School, Public School",High School,Redmond,Tesla Stem High School,4301 228th Ave NE,WA,98053,King County,47.648077,-122.037349,"Seattle-Tacoma-Bellevue, WA","Seattle-Tacoma, WA"
5268,Riverpoint Academy,16,349,Teaches Computer Science,32354,Mead School District,Riverpoint Academy,11,12,Moleena  Harris,moleena.harris@mead354.org,.509.465.7900," Affiliated With District, Public School",High School,Spokane,Riverpoint Academy,11008 N. Newport Hwy,WA,99218,Spokane County,47.7577,-117.393011,"Spokane-Spokane Valley, WA","Spokane-Spokane Valley-Coeur d'Alene, WA-ID"
5273,Columbia Basin Technical Skills Center ,2,16,Teaches Computer Science,13161,Moses Lake School District,Columbia Basin Technical Skills Center ,10,12,Christine   Armstrong,carmstrong@cbtech.k12.wa.us,509.766.2650," Public School, Vocational/technical school",High School,Moses Lake ,,,,,,,,,
5278,Spokane Valley Tech,4,24,Teaches Computer Science,32356,Central Valley School District,Spokane Valley Tech,9,12,Scott  Oakshott,soakshott@cvsd.org,509.228.5601," Public School, Vocational/technical school",High School,Spokane Valley,Spokane Valley Tech,115 S University Rd,WA,99206,Spokane County,47.65596,-117.260711,"Spokane-Spokane Valley, WA","Spokane-Spokane Valley-Coeur d'Alene, WA-ID"
5310,Henrietta Lacks Health And Bioscience High School,8,72,Teaches Computer Science,6114,Evergreen School District (Clark),Henrietta Lacks Health And Bioscience High School,9,12,Julie  Tumelty,julie.tumelty@evergreenps.org,360.604.6340," Affiliated With District, Public School",High School,Vancouver,,,,,,,,,
5433,Ev Parent Partnership,1,1,Teaches Computer Science,32361,East Valley School District (Spokane),Ev Parent Partnership,K ,12,Frank  Brou,brouf@evsd.org,509-241-5001," Alternative School, Public School",K-12,Spokane Valley,Ev Parent Partnership,12325 E Grace Ave,WA,99216,Spokane County,47.68466,-117.238351,"Spokane-Spokane Valley, WA","Spokane-Spokane Valley-Coeur d'Alene, WA-ID"
5458,Industrial Design Engineering And Art,4,302,Teaches Computer Science,27010,Tacoma School District,Industrial Design Engineering And Art,9,12,Zach  Varnell,zvarnel@tacoma.k12.wa.us,253.571.7906," Public School, Regular School",High School,Tacoma,Industrial Design Engineering And Art,6701 S Park Ave,WA,98444,Pierce County,47.195829,-122.441328,"Seattle-Tacoma-Bellevue, WA","Seattle-Tacoma, WA"
5480,Pacific Crest Innovation Academy,1,1,Teaches Computer Science,30031,Mill A School District,Pacific Crest Innovation Academy,9,12,Bob  Rogers,info@pacificcrestia.org,509-538-2700," Affiliated With District, Public School",High School,Cook,Pacific Crest Innovation Academy,1142 Jessup rd,WA,98605,Skamania County,45.75708,-121.648781,"Portland-Vancouver-Hillsboro, OR-WA","Portland-Vancouver-Salem, OR-WA"
